model,provider,model_returned,mode,reasoning,show_thinking,task,item_index,answer_expected,answer_given,parsed,correct,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,time_to_first_thinking_ms,time_to_first_answer_token_ms,total_latency_ms,finish_reason
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,7,700,700,True,True,96,0,67,57,1184.3798999998398,3550.609699999768,3554.168700000446,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,7,700,700,True,True,96,0,85,0,,782.4048000002222,1498.279299999922,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,8,273,273,True,True,100,0,31,21,1006.2694999996893,3120.0850999994145,3122.5589999994554,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,8,273,273,True,True,100,0,44,0,,914.5099999996091,1228.396900000007,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,9,8,8,True,True,93,0,116,45,1057.4005999997098,3213.3426000000327,3223.038600000109,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,9,8,8,True,True,93,0,58,0,,894.7404000000461,1325.9892999999465,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,10,84,84,True,True,97,0,40,27,1130.1639000002979,3074.945700000171,3077.2907999999006,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,10,84,84,True,True,97,0,64,0,,839.6466000003784,2326.636700000563,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,11,74,74,True,True,87,0,30,19,850.2098999997543,2022.4349000000075,2026.750600000014,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,11,74,74,True,True,87,0,32,0,,1227.688900000203,2046.4403000000857,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,12,350,350,True,True,95,0,40,28,1095.5158000006122,3145.2816000000894,3156.6914000004545,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,12,350,350,True,True,95,0,106,0,,1451.0801000005813,2554.9390000005587,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,13,441,441,True,True,100,0,56,25,1181.101099999978,2602.9692000001887,2606.7645000002813,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,13,441,441,True,True,100,0,43,0,,1227.5311000003057,1963.1144000004497,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,14,13,13,True,True,93,0,50,39,939.977899999576,3372.368800000004,3385.013999999501,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,14,13,13,True,True,93,0,58,0,,1059.1151000007812,1585.9218000005058,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,15,105,105,True,True,97,0,41,30,1297.6823999997578,3538.6908999998923,3541.983000000073,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,15,105,105,True,True,97,0,43,0,,1040.836500000296,1799.7025000004214,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,16,60,60,True,True,87,0,40,28,842.086499999823,2593.383399999766,2603.3379999998942,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,16,60,60,True,True,87,0,32,0,,715.3698000001896,983.3342000001721,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,17,1650,1650,True,True,96,0,99,55,1097.8922000003877,3023.0776999997033,3026.7360999996527,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,17,1650,1650,True,True,96,0,109,0,,1073.6322000002474,1875.4506000004767,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,18,702,702,True,True,100,0,34,24,1016.4142000003267,2798.0541999995694,2801.3335999994524,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,18,702,702,True,True,100,0,50,0,,1071.9945000000735,1853.872599999704,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,19,222,222,True,True,93,0,56,45,883.9918000003308,2470.220500000323,2475.4345000001194,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,19,222,222,True,True,93,0,58,0,,1068.8876000003802,1875.531200000296,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,20,161,161,True,True,97,0,40,29,5447.351400000116,7725.881399999707,7728.583799999797,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,20,161,161,True,True,97,0,70,0,,824.1250000000946,1757.155000000239,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,21,88,88,True,True,87,0,28,18,876.2298999999985,2221.769900000254,2224.3075000005774,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,21,88,88,True,True,87,0,34,0,,829.4572000004337,1166.593699999794,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,22,1150,1150,True,True,96,0,117,69,1481.4117000005353,3514.8465000002034,3616.132600000128,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,22,1150,1150,True,True,96,0,46,0,,993.706199999906,1780.0681999997323,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,23,714,714,True,True,100,0,41,31,988.7908999999127,3262.24000000002,3264.6726000002673,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,23,714,714,True,True,100,0,44,0,,1086.1499000002368,1847.9171999997561,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,24,68,68,True,True,93,0,58,45,1132.8169999997044,3063.598799999454,3065.3614999991987,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,24,68,68,True,True,93,0,58,0,,1054.1461000002528,1899.4928000001892,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,25,74,74,True,True,97,0,39,26,1106.9691000002422,3205.2222000002075,3210.818100000324,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,25,74,74,True,True,97,0,60,0,,1110.4054999996151,1924.4669999998223,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,26,75,75,True,True,87,0,70,49,941.7311999995945,2688.162999999804,2697.31579999916,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,26,75,75,True,True,87,0,40,0,,932.2613000003912,1674.1706000002523,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,27,1055,1055,True,True,96,0,72,30,1612.636900000325,2965.2384000000893,3581.915100000515,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,27,1055,1055,True,True,96,0,71,0,,1313.2064000001265,2381.3898999997036,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,28,112,112,True,True,100,0,34,24,993.8557000000401,2876.663199999939,2877.8959999999643,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,28,112,112,True,True,100,0,44,0,,978.368799999771,1350.2590999996755,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,arithmetic,29,64,64,True,True,93,0,114,47,846.3778999994247,2180.587299999388,2191.34589999976,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,arithmetic,29,64,64,True,True,93,0,58,0,,1695.1822000000902,2597.1263000001272,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,0,"flushing, greasing, hosing, calibration, emissions, descaling, balancing","flushing, greasing, hosing, calibration, emissions, descaling, balancing",True,True,240,0,1916,1235,1070.9594999998444,15783.888599999955,17909.805199999937,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,0,"flushing, greasing, hosing, calibration, emissions, descaling, balancing","flushing, greasing, hosing, calibration, emissions, descaling, balancing",True,True,240,0,966,0,,1020.6184000007852,8838.264800000616,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,1,"greasing, calibration, balancing, hosing, descaling, emissions, flushing","greasing, calibration, balancing, hosing, descaling, emissions, flushing",True,True,233,0,1513,923,1130.4158000002644,11908.012200000485,13329.584200000681,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,1,"greasing, calibration, balancing, hosing, descaling, emissions, flushing","greasing, calibration, balancing, hosing, descaling, emissions, flushing",True,True,233,0,970,0,,1117.9814000006445,8757.45200000074,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,2,"balancing, flushing, hosing, descaling, greasing, emissions, audit","balancing, flushing, hosing, descaling, greasing, emissions, audit",True,True,239,0,1946,1177,1249.1208999999799,14210.031399999934,17741.428899999846,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,2,"balancing, flushing, hosing, descaling, greasing, emissions, audit","balancing, flushing, hosing, descaling, greasing, emissions, audit",True,True,239,0,1238,0,,918.8113000000158,12633.131800000228,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,3,"hosing, flushing, audit, calibration, balancing, emissions, descaling","hosing, flushing, audit, calibration, balancing, emissions, descaling",True,True,236,0,663,629,1013.8198000004195,8462.723600000572,8468.939400000636,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,3,"hosing, flushing, audit, calibration, balancing, emissions, descaling","hosing, flushing, audit, calibration, balancing, emissions, descaling",True,True,236,0,946,0,,868.3808999994653,7851.251499999307,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,4,"hosing, flushing, descaling, calibration, emissions, balancing, audit","hosing, flushing, descaling, calibration, emissions, balancing, audit",True,True,236,0,1603,925,1124.39650000033,13831.332499999917,15043.885000000046,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,4,"hosing, flushing, descaling, calibration, emissions, balancing, audit","hosing, flushing, descaling, calibration, emissions, balancing, audit",True,True,236,0,881,0,,1373.8823000003322,9058.45109999973,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,5,"hosing, balancing, descaling, calibration, audit, flushing, greasing","hosing, balancing, descaling, calibration, audit, flushing, greasing",True,True,247,0,1736,1086,1118.2039000004806,12883.263200000329,14651.337999999669,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,5,"hosing, balancing, descaling, calibration, audit, flushing, greasing","hosing, balancing, descaling, calibration, audit, flushing, greasing",True,True,247,0,1656,0,,1172.190700000101,15862.91170000004,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,6,"calibration, audit, descaling, flushing, greasing, hosing, balancing","calibration, audit, descaling, flushing, greasing, hosing, balancing",True,True,264,0,1798,1064,999.7920000005251,12623.648499999945,16142.20750000004,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,6,"calibration, audit, descaling, flushing, greasing, hosing, balancing","calibration, audit, descaling, flushing, greasing, hosing, balancing",True,True,264,0,748,0,,1146.9086999995852,7627.448000000186,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,7,"hosing, emissions, descaling, calibration, greasing, balancing, flushing","hosing, emissions, descaling, calibration, greasing, balancing, flushing",True,True,248,0,2012,1192,856.0560000005353,12484.400800000003,16104.758000000402,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,7,"hosing, emissions, descaling, calibration, greasing, balancing, flushing","hosing, emissions, descaling, calibration, greasing, balancing, flushing",True,True,248,0,1275,0,,1205.5160999998407,11518.218199999865,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,8,"emissions, balancing, audit, flushing, hosing, descaling, calibration","emissions, balancing, audit, flushing, hosing, descaling, calibration",True,True,231,0,1802,1118,967.8174999999101,11598.802299999988,14873.70909999936,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,8,"emissions, balancing, audit, flushing, hosing, descaling, calibration","emissions, balancing, audit, flushing, hosing, descaling, calibration",True,True,231,0,739,0,,1249.1016999993008,7185.775299999477,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,9,"audit, greasing, balancing, hosing, descaling, calibration, emissions","audit, greasing, balancing, hosing, descaling, calibration, emissions",True,True,223,0,1254,692,1061.5271999995457,11109.25159999988,12575.431000000208,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,9,"audit, greasing, balancing, hosing, descaling, calibration, emissions","audit, greasing, balancing, hosing, descaling, calibration, emissions",True,True,223,0,910,0,,1119.1130999995949,8475.784100000055,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,10,"hosing, flushing, greasing, calibration, emissions, balancing, audit","hosing, flushing, greasing, calibration, emissions, balancing, audit",True,True,229,0,1370,799,873.7611999995352,10083.208699999886,12694.634599999517,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,10,"hosing, flushing, greasing, calibration, emissions, balancing, audit","hosing, flushing, greasing, calibration, emissions, balancing, audit",True,True,229,0,1093,0,,1094.097299999703,10048.993499999597,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,11,"audit, descaling, balancing, greasing, flushing, calibration, hosing","audit, descaling, balancing, greasing, flushing, calibration, hosing",True,True,230,0,1881,1275,1243.7056999997367,15492.772499999774,16459.936199999902,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,11,"audit, descaling, balancing, greasing, flushing, calibration, hosing","audit, descaling, balancing, greasing, flushing, calibration, hosing",True,True,230,0,854,0,,1036.0962999993717,7747.31729999985,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,12,"calibration, hosing, emissions, flushing, audit, descaling, greasing","calibration, hosing, emissions, flushing, audit, descaling, greasing",True,True,229,0,798,403,996.6272000001482,6316.723799999636,6729.601299999558,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,12,"calibration, hosing, emissions, flushing, audit, descaling, greasing","calibration, hosing, emissions, flushing, audit, descaling, greasing",True,True,229,0,646,0,,1058.0271999997422,5642.522399999507,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,13,"hosing, descaling, flushing, audit, balancing, calibration, emissions","hosing, descaling, flushing, audit, balancing, calibration, emissions",True,True,240,0,1435,1005,1112.5892000000022,14358.304499999576,14799.371600000086,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,13,"hosing, descaling, flushing, audit, balancing, calibration, emissions","hosing, descaling, flushing, audit, balancing, calibration, emissions",True,True,240,0,1068,0,,1119.4175000000541,9923.088499999722,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,14,"flushing, descaling, emissions, audit, calibration, balancing, greasing","flushing, descaling, emissions, audit, calibration, balancing, greasing",True,True,236,0,2011,1330,1024.7423999999228,14517.934200000127,16961.49509999941,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,14,"flushing, descaling, emissions, audit, calibration, balancing, greasing","flushing, descaling, emissions, audit, calibration, balancing, greasing",True,True,236,0,755,0,,827.2820000001957,7217.694500000107,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,15,"emissions, calibration, audit, hosing, greasing, flushing, balancing","emissions, calibration, audit, hosing, greasing, flushing, balancing",True,True,220,0,788,751,1138.0614999998215,11180.271000000175,11315.65319999936,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,15,"emissions, calibration, audit, hosing, greasing, flushing, balancing","emissions, calibration, audit, hosing, greasing, flushing, balancing",True,True,220,0,1495,0,,1393.9242000005834,15131.414700000278,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,16,"descaling, greasing, flushing, emissions, balancing, hosing, calibration","descaling, greasing, flushing, emissions, balancing, hosing, calibration",True,True,242,0,3750,2954,1046.961700000793,33284.58219999993,36895.96100000017,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,16,"descaling, greasing, flushing, emissions, balancing, hosing, calibration",,False,False,242,0,2000,0,,1377.6778000001286,21539.055700000063,length
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,17,"audit, hosing, greasing, calibration, flushing, emissions, balancing","audit, hosing, greasing, calibration, flushing, emissions, balancing",True,True,220,0,1034,492,1064.1076000001704,7363.883899999564,9483.520300000237,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,17,"audit, hosing, greasing, calibration, flushing, emissions, balancing","audit, hosing, greasing, calibration, flushing, emissions, balancing",True,True,220,0,1458,0,,1185.4786000003514,14257.680900000196,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,18,"audit, descaling, flushing, emissions, greasing, balancing, hosing","audit, descaling, flushing, emissions, greasing, balancing, hosing",True,True,232,0,123,89,968.6960999997609,4308.082900000045,4311.021499999697,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,18,"audit, descaling, flushing, emissions, greasing, balancing, hosing","audit, descaling, flushing, emissions, greasing, balancing, hosing",True,True,232,0,354,0,,854.9211999998079,3542.622400000255,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,19,"emissions, descaling, flushing, audit, balancing, calibration, greasing","emissions, descaling, flushing, audit, balancing, calibration, greasing",True,True,245,0,1876,1120,1128.1552000000374,13983.376600000156,15940.674999999828,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,19,"emissions, descaling, flushing, audit, balancing, calibration, greasing","emissions, descaling, flushing, audit, balancing, calibration, greasing",True,True,245,0,1261,0,,1285.4330999998638,11748.82709999929,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,20,"audit, flushing, descaling, greasing, emissions, calibration, balancing","audit, flushing, descaling, greasing, emissions, calibration, balancing",True,True,237,0,1646,1030,1208.764300000439,12346.95550000015,13850.47300000042,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,20,"audit, flushing, descaling, greasing, emissions, calibration, balancing","audit, flushing, descaling, greasing, emissions, calibration, balancing",True,True,237,0,1034,0,,987.4221999998554,9011.375500000213,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,21,"audit, balancing, emissions, flushing, hosing, descaling, calibration","audit, balancing, emissions, flushing, hosing, descaling, calibration",True,True,246,0,2148,1382,1418.4231999997792,17822.82799999939,21321.103299999777,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,21,"audit, balancing, emissions, flushing, hosing, descaling, calibration","audit, balancing, emissions, flushing, hosing, descaling, calibration",True,True,246,0,1789,0,,916.3958999997703,15207.94829999977,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,22,"balancing, audit, hosing, greasing, calibration, flushing, descaling","balancing, audit, hosing, greasing, calibration, flushing, descaling",True,True,234,0,1576,1270,1096.3497000002462,16125.346699999682,16279.921299999842,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,22,"balancing, audit, hosing, greasing, calibration, flushing, descaling","balancing, audit, hosing, greasing, calibration, flushing, descaling",True,True,234,0,829,0,,1025.7497000002331,8428.50929999986,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,23,"hosing, balancing, audit, calibration, descaling, emissions, greasing","hosing, balancing, audit, calibration, descaling, emissions, greasing",True,True,229,0,922,365,983.6983000004693,6961.699399999816,8060.282899999947,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,23,"hosing, balancing, audit, calibration, descaling, emissions, greasing","hosing, balancing, audit, calibration, descaling, emissions, greasing",True,True,229,0,521,0,,964.3998000001375,4876.007500000014,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,24,"balancing, descaling, calibration, audit, greasing, hosing, flushing","balancing, descaling, calibration, audit, greasing, hosing, flushing",True,True,238,0,1131,612,1165.0542999996105,8711.690399999497,10240.409899999577,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,24,"balancing, descaling, calibration, audit, greasing, hosing, flushing","balancing, descaling, calibration, audit, greasing, hosing, flushing",True,True,238,0,631,0,,1021.5124999995169,6681.099700000232,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,25,"flushing, descaling, emissions, hosing, calibration, balancing, audit","flushing, descaling, emissions, hosing, calibration, balancing, audit",True,True,256,0,1580,1295,1247.7345999996032,13992.840900000374,14003.52810000004,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,25,"flushing, descaling, emissions, hosing, calibration, balancing, audit","flushing, descaling, emissions, hosing, calibration, balancing, audit",True,True,256,0,1945,0,,2040.6327000000601,14854.260500000237,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,26,"flushing, balancing, calibration, audit, hosing, emissions, descaling","flushing, balancing, calibration, audit, hosing, emissions, descaling",True,True,231,0,1913,1117,1114.9124999992637,13836.990399999195,15108.519099999285,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,26,"flushing, balancing, calibration, audit, hosing, emissions, descaling","flushing, balancing, calibration, audit, hosing, emissions, descaling",True,True,231,0,1168,0,,1094.452199999978,10004.589099999976,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,27,"flushing, audit, greasing, descaling, hosing, calibration, emissions","flushing, audit, greasing, descaling, hosing, calibration, emissions",True,True,231,0,3739,3159,1667.7632000000813,36478.979999999865,37688.99549999969,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,27,"flushing, audit, greasing, descaling, hosing, calibration, emissions","flushing, audit, greasing, descaling, hosing, calibration, emissions",True,True,231,0,552,0,,977.2573999998713,5070.683899999494,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,28,"audit, calibration, hosing, greasing, emissions, descaling, flushing","audit, calibration, hosing, greasing, emissions, descaling, flushing",True,True,228,0,1926,1246,1143.890299999839,13650.947000000087,16946.65199999963,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,28,"audit, calibration, hosing, greasing, emissions, descaling, flushing","audit, calibration, hosing, greasing, emissions, descaling, flushing",True,True,228,0,1119,0,,1485.1448999997956,11399.2274000002,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,constraint-puzzle,29,"audit, hosing, emissions, descaling, calibration, flushing, greasing","audit, hosing, emissions, descaling, calibration, flushing, greasing",True,True,245,0,2547,1567,1190.732900000512,16217.127400000209,20935.93670000064,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,constraint-puzzle,29,"audit, hosing, emissions, descaling, calibration, flushing, greasing","audit, hosing, emissions, descaling, calibration, flushing, greasing",True,True,245,0,1642,0,,896.478699999534,14148.456099999748,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,extraction,0,4842,4842,True,True,315,0,14,0,,1197.342800000115,1746.7760999998063,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,extraction,0,4842,4842,True,True,315,0,36,0,,674.6445000007952,1481.3170000006721,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,extraction,1,5260,5260,True,True,318,0,24,12,859.182599999258,1690.161999999873,1692.4532999992152,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,extraction,1,5260,5260,True,True,318,0,57,0,,994.1209000000981,1264.7899999999481,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,extraction,2,5202,5202,True,True,321,0,24,12,1152.8935999995156,2340.462899999693,2343.260300000111,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,extraction,2,5202,5202,True,True,321,0,31,0,,1101.7055000002074,1657.560000000558,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,high,high,True,extraction,3,9681,9681,True,True,326,0,23,12,1042.1814999999697,2216.531300000497,2219.2774000004647,stop
Claude Sonnet 5,anthropic,claude-sonnet-5,lowest,off,False,extraction,3,9681,9681,True,True,326,0,32,0,,803.5915000000386,1011.0936000000947,stop
